Stock,MeanReturn,StdReturn,Volatility,MA50,MA200
V,0.0007,0.022,0.0068,249.37,237.57
C,0.002,0.1343,0.0137,45.18,44.98
BAC,0.0004,0.0305,0.0177,29.75,29.02
ADBE,0.0008,0.0215,0.0189,587.14,494.05
PEP,0.0003,0.0116,0.0098,166.65,178.01
INTC,0.0004,0.0202,0.0223,41.79,35.3
AMD,0.001,0.0369,0.0278,121.11,109.39
AXP,0.0005,0.023,0.0138,163.83,161.94
CVX,0.0004,0.0184,0.0119,147.68,157.67
NKE,0.0004,0.0227,0.0329,103.86,110.17
GS,0.0005,0.0227,0.0168,339.71,331.26
JPM,0.0006,0.0238,0.0069,153.16,145.29
GOOGL,0.0004,0.0247,0.0161,133.6,124.91
META,0.0011,0.0253,0.0146,328.27,286.18
PFE,0.0003,0.0147,0.0161,49.2,49.37
MS,0.0006,0.0313,0.017,80.29,84.22
MA,0.001,0.0251,0.0082,402.95,390.56
AAPL,0.0008,0.0263,0.0091,186.63,179.49
BX,0.0006,0.0292,0.0266,85.99,98.55
ASML,0.001,0.023,0.023,550.35,535.89
JNJ,0.0003,0.0109,0.0093,152.54,159.49
CRM,0.0009,0.0281,0.0147,231.78,214.06
BLK,0.0007,0.0217,0.0144,714.09,686.59
